,delayType
4205,2
3243,2
655,2
13815,2
1008,3
8561,2
7194,2
2846,3
16701,2
1851,2
7477,2
12713,2
15380,2
14853,2
6758,2
2720,3
661,3
11408,3
11033,2
3082,2
3622,2
14253,2
15919,3
2990,2
6618,2
17885,2
11212,2
12105,2
1077,1
348,3
18579,3
15737,2
13517,2
8093,2
13792,2
209,3
9073,2
15126,2
11180,3
12438,2
16581,2
2168,2
13411,3
7826,2
5886,2
94,2
4771,2
12297,2
5204,2
14056,2
15845,2
11460,2
15029,1
1319,3
17168,2
14994,1
18175,2
6565,3
13047,3
13499,1
822,2
6875,2
3232,2
4959,2
14536,3
10002,2
481,3
1353,2
17271,3
15596,2
15382,3
9649,2
13413,2
14667,2
14454,2
9163,2
6542,2
219,3
7542,1
9256,3
12922,3
3511,2
2815,2
1901,2
11841,3
14221,2
13467,2
8004,1
9584,2
12561,2
16967,3
1986,2
6460,3
3300,2
2140,2
6548,3
18375,1
8839,2
9580,2
1640,3
1712,2
12322,1
205,2
14710,1
4568,2
4111,2
17551,2
4586,1
4834,2
14859,3
14310,2
15290,2
15402,2
19050,1
4843,2
11500,2
10390,3
13122,3
46,2
3779,3
11494,2
12282,2
7815,3
19085,2
15939,2
4255,2
3421,3
8095,2
1954,2
5520,2
18823,2
334,2
9146,2
4304,2
9100,3
1655,2
2033,2
17100,3
15301,2
196,3
13303,2
16107,2
5753,2
4225,3
11308,1
11333,2
3510,2
2298,2
16357,2
9357,2
14732,1
10078,2
15313,2
7256,3
17423,2
9904,2
16934,2
7345,2
13627,2
14469,3
5468,2
1582,2
4884,2
4336,3
16696,2
10451,2
4183,2
6165,2
17971,3
6609,2
14611,2
13397,2
10836,2
13376,2
14965,2
10611,2
3690,2
17867,3
11476,1
859,1
12940,2
993,2
